author,persona0,persona1,persona2,persona3
164,0.0833811,0.0833333,0.7499522,0.0833333
1660,0.0420923,0.0416667,0.8743328,0.0419082
1666,0.0625034,0.5085909,0.3259524,0.1029533
1675,0.0515793,0.0500032,0.8344437,0.0639738
1698,0.062502,0.2074595,0.6604611,0.0695773
1739,0.0503992,0.3785,0.3058754,0.2652254
1753,0.9347983,0.0195616,0.031778,0.0138621
1763,0.0739991,0.062513,0.7991907,0.0642972
1786,0.0833561,0.0833333,0.7499772,0.0833333
1833,0.3785032,0.0833343,0.454829,0.0833336
1834,0.5597768,0.0383645,0.3641084,0.0377503
1888,0.0833466,0.0833333,0.7487926,0.0845275
1982,0.0625015,0.0638941,0.8110966,0.0625078
2009,0.2623773,0.3830524,0.3383905,0.0161798
207,0.0833334,0.0833333,0.749999,0.0833344
2091,0.0834534,0.0833333,0.7480151,0.0851981
2094,0.0833333,0.0833348,0.7499018,0.0834301
2138,0.0668867,0.3011889,0.5098571,0.1220673
2140,0.0501223,0.05,0.844595,0.0552827
2149,0.0833333,0.0833335,0.7499999,0.0833333
2155,0.0833337,0.2281567,0.6051173,0.0833922
2173,0.0629765,0.0647,0.8098235,0.0625
2192,0.903185,0.0229593,0.0510963,0.0227594
2218,0.125,0.125,0.625,0.125
2284,0.0530354,0.0419491,0.86161,0.0434055
2292,0.0364618,0.0312532,0.8994883,0.0327966
2327,0.0833853,0.0833347,0.7499467,0.0833333
2425,0.3896822,0.1079163,0.4926552,0.0097464
248,0.0513861,0.0500116,0.8480074,0.0505949
253,0.0834907,0.0857707,0.7473998,0.0833389
287,0.8119588,0.0524586,0.0855311,0.0500515
288,0.4346944,0.1211634,0.1677724,0.2763698
291,0.0625943,0.0928518,0.7820538,0.0625
308,0.8399458,0.0251018,0.1140185,0.020934
322,0.0833343,0.0846446,0.7486877,0.0833333
335,0.8258631,0.0322499,0.0951179,0.0467692
35,0.2465587,0.0833333,0.5867742,0.0833337
400,0.0395053,0.8845735,0.0382053,0.037716
417,0.5671033,0.1037713,0.2853964,0.043729
418,0.083334,0.4350394,0.3982914,0.0833352
480,0.0625,0.788771,0.0861995,0.0625295
498,0.5335384,0.2402875,0.1945706,0.0316035
504,0.0833333,0.0833333,0.75,0.0833333
519,0.0835147,0.0833333,0.7497658,0.0833861
554,0.0833333,0.0833333,0.75,0.0833333
600,0.433125,0.4452288,0.104018,0.0176282
603,0.0833338,0.0833334,0.7493343,0.0839985
646,0.2793561,0.2932245,0.3647264,0.062693
649,0.0833339,0.41016,0.4228296,0.0836765
658,0.0872758,0.0833333,0.74605,0.0833408
71,0.0506038,0.0500003,0.845049,0.0543469
730,0.2849343,0.293275,0.3310268,0.0907638
736,0.052675,0.0503644,0.8120253,0.0849353
