Name,Id,Docs,Size
S   Tano,2072,"[26654962, 27210823]",2
S   Tegg-Quinn,2073,"[27240696, 32823204]",2
S   Theodoroff,2075,"[23444467, 24603542, 24622858, 24622863, 25365366, 25600417, 26181507, 27315442, 28183355, 29090311, 29464519, 30901434, 31022358, 32334867, 32362561, 22249868, 22937406, 28590898]",18
S   Truijen,2077,"[27592038, 28286241, 25056151, 25415466, 26045606]",5
S   Tupak,2079,"[25478237, 26890094]",2
S   Unsal,2082,"[27917796, 31469530]",2
S   Vanneste,2085,"[20374277, 21208381, 21563554, 21889914, 21920411, 23111293, 24477090, 26342399, 29773153, 31152296, 19816597, 19911891, 20186404, 20305490, 20417285, 20505927, 21048975, 21235318, 21429905, 21437634, 21710223, 21790807, 21848924, 21998628, 22019079, 22032739, 22120273, 22291622, 22348053, 22392014, 22494273, 22509155, 22541838, 22586375, 22658239, 22782482, 22782483, 22789414, 22808188, 22853891, 22917883, 23049821, 23055986, 23104014, 23110786, 23133339, 23314693, 23415838, 23415916, 23533644, 23597755, 23607023, 23609486, 23732881, 24135769, 24255953, 24391599, 24422941, 24498000, 24558383, 24812586, 25097788, 25129400, 25587455, 25611454, 25689839, 25694243, 25703225, 25781934, 25875099, 26106362, 26314996, 26373470, 26467416, 26477359, 26708013, 27381994, 27489534, 27509900, 27761741, 28572760, 28826043, 28931943, 29074518, 29127483, 29230011, 29888315, 29487513, 29844532, 30142355, 30998951, 31573942, 31680845, 32154627, 32457569, 32681139]",96
S   Voytenko,2086,"[27832500, 30822633]",2
B   Canlon,209,"[22440225, 22629449, 27582696, 28333916, 29375369, 30653224, 32444677]",7
S   Weidt,2090,"[26850646, 27001548, 27671157, 28315312, 28476163, 29163242, 30500397]",7
S   Wilson,2092,"[27391257, 27605920, 29123218, 29366511]",4
